transaction_id,merchant_id,settlement_date,gross_amount,fee,tax,net_amount,currency,payment_method,status,narration,source,utr_number,payment_id,order_id,invoice_number
TXN-0010-0ca8c9,MRCH003,2026-08-04,10687.69,213.75,38.48,10435.46,INR,NETBANKING,settled,online pymnt - netbanking - cloudsoft solutions - order:order_f5b0df9f4eab,razorpay_gateway,UTIB52119777069,pay_0a58526fd07a46,order_f5b0df9f4eab,BILL-1949-346
TXN-0011-fbbfd6,MRCH008,2026-08-19,49946.68,1248.67,224.76,48473.25,INR,UPI,settled,bank credit utr:BARB45068953259 razorpay settlement 19/08/2026 48473.25,razorpay_gateway,BARB45068953259,pay_4a32947ca1724c,order_668989373b46,SI-4470-652
TXN-0012-d975a5,MRCH005,2026-08-09,44119.83,1323.59,238.25,42557.99,INR,WALLET,pending,STTLMNT/MRCH005/PY-pay_eb2a1a1a06de49/090826 NET AMT 42557.99,razorpay_gateway,SBIN40584480151,pay_eb2a1a1a06de49,order_81156afce621,BILL-2049-446
TXN-0013-4be2e8,MRCH010,2026-08-16,571.09,11.42,2.06,557.61,INR,CARD,settled,Pymnt settlement batch #785 MRCH010 557.61,razorpay_gateway,UTIB56641778881,pay_fe53397e2e8449,order_7f3362263a2d,INV-9423-343
TXN-0014-64dd66,MRCH004,2026-08-16,8771.92,157.89,28.42,8585.61,INR,BANK_TRANSFER,settled,setlmnt #pay_00281604221245 merch:MRCH004 gross:8771.92 net:8585.61 BANK_TRANSFER,razorpay_gateway,SBIN23702706271,pay_00281604221245,order_e904ed9cc3fb,INV-8062-462
TXN-0015-86b4fa,MRCH001,2026-07-29,4072.51,122.18,21.99,3928.34,INR,UPI,pending,Razorpay sttlmnt pay_536a82e959f04d for TechStore India Pvt Ltd INR 4072.51 less fee 122.18,razorpay_gateway,HDFC36592676864,pay_536a82e959f04d,order_59d6ccf711d2,SI-3296-532
TXN-0016-838082,MRCH004,2026-08-22,29141.7,582.83,104.91,28453.96,INR,UPI,settled,setlmnt #pay_fc14ede7558e46 merch:MRCH004 gross:29141.7 net:28453.96 UPI,razorpay_gateway,BARB13590711152,pay_fc14ede7558e46,order_e9803ae73405,INV-4872-270
TXN-0017-7aae45,MRCH004,2026-08-23,3942.21,70.96,12.77,3858.48,INR,WALLET,partially_refunded,bank credit utr:ICIC73501647053 razorpay settlement 23/08/2026 3858.48,razorpay_gateway,ICIC73501647053,pay_a537543bf49241,order_5e37fbf36493,REC-7930-813
TXN-0018-0cf37a,MRCH003,2026-08-05,19545.27,390.91,70.36,19084.00,INR,CARD,settled,CloudSoft Solutions / inv #INV-1821-698 / settled 05/08/2026 / ₹19084.00,razorpay_gateway,UTIB56162203547,pay_cd269db4f3d241,order_01e5958cf2b8,INV-1821-698
TXN-0019-0eae77,MRCH001,2026-08-04,5350.23,107.00,19.26,5223.97,INR,BANK_TRANSFER,settled,Settlement - TechStore India Pvt Ltd - Ref#pay_75f5bd5319674d dt 04/08/2026,razorpay_gateway,HDFC24619104687,pay_75f5bd5319674d,order_3de15613b2de,BILL-1651-734
TXN-0020-11c803,MRCH005,2026-08-16,43991.91,1319.76,237.56,42434.59,INR,CARD,settled,Settlement - BookWorm Online - Ref#pay_a34029d7c63e45 dt 16/08/2026,razorpay_gateway,HDFC98784233468,pay_a34029d7c63e45,order_7e753c9f8304,REC-8491-423
TXN-0021-4b333b,MRCH010,2026-08-07,6652.09,166.30,29.93,6455.86,INR,BANK_TRANSFER,settled,Razorpay sttlmnt pay_f523bdf6376d49 for FashionHub Trends INR 6652.09 less fee 166.30,razorpay_gateway,ICIC22373217409,pay_f523bdf6376d49,order_299810f1e347,BILL-7054-391
TXN-0022-a6e39d,MRCH010,2026-08-02,612.85,18.39,3.31,591.15,INR,BANK_TRANSFER,settled,Pymnt settlement batch #719 MRCH010 591.15,razorpay_gateway,HDFC24020774383,pay_3677725f6bae44,order_1ecadd0147b0,INV-3546-378
TXN-0023-275150,MRCH006,2026-08-07,45155.81,1354.67,243.84,43557.30,INR,CARD,settled,STTLMNT/MRCH006/PY-pay_7aae8449d98a4e/070826 NET AMT 43557.30,razorpay_gateway,UTIB96295764809,pay_7aae8449d98a4e,order_d5e81cea4d71,SI-5533-145
TXN-0024-476ca6,MRCH005,2026-08-06,48677.56,876.20,157.72,47643.64,INR,CARD,settled,CR UTIB83654627323 RZP SETTLEMENT MRCH005 060826 INR47643.64,razorpay_gateway,UTIB83654627323,pay_850f3fe57c474e,order_5672d43c65ef,INV-7049-696
TXN-0025-1aa156,MRCH003,2026-07-26,20302.46,406.05,73.09,19823.32,INR,UPI,settled,Razorpay sttlmnt pay_e908f82df6894e for CloudSoft Solutions INR 20302.46 less fee 406.05,razorpay_gateway,KKBK57686135491,pay_e908f82df6894e,order_9bad980f8668,SI-3532-342
TXN-0026-5688eb,MRCH007,2026-07-29,11854.94,355.65,64.02,11435.27,INR,UPI,pending,bank credit utr:KKBK43546912874 razorpay settlement 29/07/2026 11435.27,razorpay_gateway,KKBK43546912874,pay_cf334254591a40,order_04618e9a0d62,REC-3608-906
TXN-0027-79686d,MRCH001,2026-08-12,14677.25,264.19,47.55,14365.51,INR,WALLET,settled,pymnt settlement batch #985 mrch001 14365.51,razorpay_gateway,HDFC10957449367,pay_1880bbe54b9843,order_0692d7a117fd,BILL-7528-436
TXN-0028-e39573,MRCH005,2026-08-02,42140.65,758.53,136.54,41245.58,INR,NETBANKING,partially_refunded,pymnt settlement batch #139 mrch005 41245.58,razorpay_gateway,BARB23003445296,pay_1e734ad6e00340,order_256803935714,REC-3925-694
TXN-0029-bc274f,MRCH010,2026-08-10,22754.93,682.65,122.88,21949.40,INR,WALLET,settled,BANK CREDIT UTR:BARB62036302425 RAZORPAY SETTLEMENT 10/08/2026 21949.40,razorpay_gateway,BARB62036302425,pay_a9b5baf720594d,order_8748b8633217,BILL-5173-145
TXN-0030-28a02d,MRCH009,2026-08-12,45113.92,1127.85,203.01,43783.06,INR,BANK_TRANSFER,settled,Pymnt settlement batch #619 MRCH009 43783.06,razorpay_gateway,KKBK56904353669,pay_e11afd10a4c74c,order_380b6a1cb964,REC-3041-837
TXN-0031-f89472,MRCH007,2026-08-06,26471.89,794.16,142.95,25534.78,INR,NETBANKING,settled,STTLMNT/MRCH007/PY-pay_2726596c634e4a/060826 NET AMT 25534.78,razorpay_gateway,SBIN92351820356,pay_2726596c634e4a,order_34f7a4b31c61,REC-7653-661
TXN-0032-d06757,MRCH004,2026-08-09,38109.77,1143.29,205.79,36760.69,INR,WALLET,settled,Settlement - Metro Cab Services - Ref#pay_0b77e31fee0b41 dt 09/08/2026,razorpay_gateway,KKBK79637317274,pay_0b77e31fee0b41,order_52d2ed0934b5,SI-3780-774
TXN-0033-324938,MRCH002,2026-07-29,44192.39,1104.81,198.87,42888.71,INR,CARD,settled,setlmnt #pay_4e3327f1fcd34f merch:MRCH002 gross:44192.39 net:42888.71 CARD,razorpay_gateway,UTIB40263257488,pay_4e3327f1fcd34f,order_ca8da066f820,SI-2193-566
TXN-0034-8aa0a8,MRCH007,2026-08-03,26291.31,657.28,118.31,25515.72,INR,WALLET,settled,bank credit utr:UTIB69177865049 razorpay settlement 03/08/2026 25515.72,razorpay_gateway,UTIB69177865049,pay_ffb2a09f5fd24a,order_19fe5f73ae01,BILL-3881-923
TXN-0035-a8c2d8,MRCH001,2026-08-19,16431.15,295.76,53.24,16082.15,INR,BANK_TRANSFER,pending,bank credit utr:KKBK94004944472 razorpay settlement 19/08/2026 16082.15,razorpay_gateway,KKBK94004944472,pay_0f4e53db3c9641,order_3e077e2135ef,REC-8251-727
TXN-0036-eaf157,MRCH009,2026-08-09,10530.95,189.56,34.12,10307.27,INR,WALLET,settled,stlmnt MRCH009/pay_e8328521d9634a amt=10530.95 fee=189.56 tax=34.12 net=10307.27,razorpay_gateway,HDFC99506529549,pay_e8328521d9634a,order_5843607c46b5,REC-9540-596
TXN-0037-a76eb4,MRCH008,2026-08-15,46862.36,1171.56,210.88,45479.92,INR,UPI,settled,bank credit utr:BARB27525947595 razorpay settlement 15/08/2026 45479.92,razorpay_gateway,BARB27525947595,pay_26a2378a8f7d46,order_684cad608c69,BILL-4788-492
TXN-0038-cd3299,MRCH002,2026-08-10,26812.42,482.62,86.87,26242.93,INR,WALLET,settled,STTLMNT/MRCH002/PY-pay_10a8b9b492a54a/100826 NET AMT 26242.93,razorpay_gateway,SBIN90615659007,pay_10a8b9b492a54a,order_b08ad73242df,INV-7232-588
TXN-0039-0e286c,MRCH007,2026-08-08,35372.95,884.32,159.18,34329.45,INR,WALLET,settled,stlmnt MRCH007/pay_86bef05f69c84b amt=35372.95 fee=884.32 tax=159.18 net=34329.45,razorpay_gateway,SBIN12085816511,pay_86bef05f69c84b,order_4dc579f5332e,SI-6507-784
TXN-0040-54a476,MRCH003,2026-08-11,8464.79,169.30,30.47,8265.02,INR,WALLET,settled,CLOUDSOFT SOLUTIONS / INV #SI-3223-987 / SETTLED 11/08/2026 / ₹8265.02,razorpay_gateway,KKBK18706337023,pay_1db901f6cee741,order_ff585316394b,SI-3223-987
TXN-0041-d361fd,MRCH005,2026-08-13,21553.27,387.96,69.83,21095.48,INR,WALLET,settled,BANK CREDIT UTR:SBIN46170345521 RAZORPAY SETTLEMENT 13/08/2026 21095.48,razorpay_gateway,SBIN46170345521,pay_9ad22adf1c8148,order_5a232b30f773,INV-8705-119
TXN-0042-3da4e7,MRCH006,2026-07-30,42707.08,854.14,153.75,41699.19,INR,CARD,settled,healthfirst pharma / inv #bill-4908-229 / settled 30/07/2026 / ₹41699.19,razorpay_gateway,HDFC91691910134,pay_bdd7afa2b4dc48,order_0e07e917e8ae,BILL-4908-229
TXN-0043-dcfe8b,MRCH010,2026-07-30,30576.89,917.31,165.12,29494.46,INR,CARD,settled,STTLMNT/MRCH010/PY-pay_258923ab54094a/300726 NET AMT 29494.46,razorpay_gateway,BARB34993708224,pay_258923ab54094a,order_115355076518,REC-2771-692
TXN-0044-e5c8c5,MRCH007,2026-08-20,5080.75,127.02,22.86,4930.87,INR,CARD,settled,setlmnt #pay_5f8a7f08b1074f merch:MRCH007 gross:5080.75 net:4930.87 CARD,razorpay_gateway,ICIC91534990643,pay_5f8a7f08b1074f,order_04d739c6c6b4,INV-6688-645
TXN-0045-b42806,MRCH002,2026-07-27,42537.43,850.75,153.14,41533.54,INR,BANK_TRANSFER,settled,Razorpay sttlmnt pay_5655989e3ad848 for FreshMart Groceries INR 42537.43 less fee 850.75,razorpay_gateway,SBIN66287860835,pay_5655989e3ad848,order_906a670f3fcb,REC-8532-824
TXN-0046-e5a9db,MRCH009,2026-08-09,40464.68,728.36,131.10,39605.22,INR,NETBANKING,settled,Settlement - GreenEnergy Solar - Ref#pay_149cdc18321140 dt 09/08/2026,razorpay_gateway,KKBK46904397480,pay_149cdc18321140,order_a9c2ebf3b85a,REC-5022-950
TXN-0047-68e087,MRCH004,2026-08-13,37445.78,674.02,121.32,36650.44,INR,WALLET,settled,Pymnt settlement batch #448 MRCH004 36650.44,razorpay_gateway,ICIC75205505671,pay_73c23caa393e41,order_d006dd9e42e4,BILL-6813-916
TXN-0048-9bde6d,MRCH010,2026-08-21,36524.01,913.10,164.36,35446.55,INR,NETBANKING,settled,bank credit utr:SBIN85112869912 razorpay settlement 21/08/2026 35446.55,razorpay_gateway,SBIN85112869912,pay_dfc224ece27a45,order_eef11400436a,BILL-8800-761
TXN-0049-db6e3a,MRCH001,2026-08-01,19383.28,348.90,62.80,18971.58,INR,UPI,settled,setlmnt #pay_0e14f3cde07846 merch:MRCH001 gross:19383.28 net:18971.58 UPI,razorpay_gateway,KKBK59742402490,pay_0e14f3cde07846,order_cd3ff1af6ea0,SI-9698-452
TXN-0050-fa032e,MRCH006,2026-08-16,17854.39,535.63,96.41,17222.35,INR,WALLET,settled,bank credit utr:HDFC24240169990 razorpay settlement 16/08/2026 17222.35,razorpay_gateway,HDFC24240169990,pay_7d5656f4210149,order_64ed4e49fef3,BILL-4138-321
TXN-0051-9fd06c,MRCH010,2026-07-28,39211.36,784.23,141.16,38285.97,INR,BANK_TRANSFER,settled,CR HDFC33024808866 RZP SETTLEMENT MRCH010 280726 INR38285.97,razorpay_gateway,HDFC33024808866,pay_1278ea8945c740,order_1f31f73534c8,REC-1231-825
TXN-0052-8d2c26,MRCH001,2026-08-03,36364.37,909.11,163.64,35291.62,INR,UPI,pending,TechStore India Pvt Ltd / inv #REC-8690-590 / settled 03/08/2026 / ₹35291.62,razorpay_gateway,SBIN87362090818,pay_dc7d457dc63348,order_895c7e60285c,REC-8690-590
