voucher_number,voucher_date,ledger_name,invoice_number,order_id,gross_invoice_value,cgst_9pct,sgst_9pct,igst_18pct,tds_section_194o,razorpay_payment_id,merchant_gstin,merchant_name,net_receivable,status,transaction_id,gross_amount
VR-2026-00014,2026-08-03,Dunzo Digital Private Limited,INV-2026-00014,order_2026_000014,5503.16,495.28,495.28,0.0,55.03,pay_2026_000014,29AADCD5678E1Z9,Dunzo Digital Private Limited,5448.13,POSTED,erp_tx_00014,5503.16
VR-2026-00015,2026-08-03,PharmEasy API Holdings Private Limited,INV-2026-00015,order_2026_000015,59398.77,5345.89,5345.89,0.0,593.99,pay_2026_000015,27AAACP4455M1Z7,PharmEasy API Holdings Private Limited,58804.78,POSTED,erp_tx_00015,59398.77
VR-2026-00016,2026-08-03,Zepto Technologies Private Limited,INV-2026-00016,order_2026_000016,47017.19,4231.55,4231.55,0.0,470.17,pay_2026_000016,27AAACZ9876K1Z1,Zepto Technologies Private Limited,46547.02,POSTED,erp_tx_00016,47017.19
VR-2026-00017,2026-08-03,Nykaa E-Retail Limited,INV-2026-00017,order_2026_000017,7886.72,709.8,709.8,0.0,78.87,pay_2026_000017,27AAACN5566R1Z0,Nykaa E-Retail Limited,7807.85,POSTED,erp_tx_00017,7886.72
VR-2026-00018,2026-08-03,Urban Company Limited,INV-2026-00018,order_2026_000018,61066.43,5495.98,5495.98,0.0,610.66,pay_2026_000018,06AAACU3322L1Z8,Urban Company Limited,60455.77,POSTED,erp_tx_00018,61066.43
VR-2026-00019,2026-08-03,Dunzo Digital Private Limited,INV-2026-00019,order_2026_000019,9600.28,864.03,864.03,0.0,96.0,pay_2026_000019,29AADCD5678E1Z9,Dunzo Digital Private Limited,9504.28,POSTED,erp_tx_00019,9600.28
VR-2026-00020,2026-08-03,PharmEasy API Holdings Private Limited,INV-2026-00020,order_2026_000020,1815.14,163.36,163.36,0.0,0.0,pay_2026_000020,27AAACP4455M1Z7,PharmEasy API Holdings Private Limited,1815.14,POSTED,erp_tx_00020,1815.14
VR-2026-00021,2026-08-04,Zomato Limited,INV-2026-00021,order_2026_000021,37686.24,3391.76,3391.76,0.0,376.86,pay_2026_000021,07AAACZ1234D1Z2,Zomato Limited,37309.38,POSTED,erp_tx_00021,37686.24
VR-2026-00022,2026-08-04,Zepto Technologies Private Limited,INV-2026-00022,order_2026_000022,59495.72,5354.61,5354.61,0.0,594.96,pay_2026_000022,27AAACZ9876K1Z1,Zepto Technologies Private Limited,58900.76,POSTED,erp_tx_00022,59495.72
VR-2026-00023,2026-08-04,Zomato Limited,INV-2026-00023,order_2026_000023,47058.29,4235.25,4235.25,0.0,470.58,pay_2026_000023,07AAACZ1234D1Z2,Zomato Limited,46587.71,POSTED,erp_tx_00023,47058.29
VR-2026-00024,2026-08-04,Cultfit Healthcare Private Limited,INV-2026-00024,order_2026_000024,51357.35,4622.16,4622.16,0.0,513.57,pay_2026_000024,29AAACC1122P1Z3,Cultfit Healthcare Private Limited,50843.78,POSTED,erp_tx_00024,51357.35
VR-2026-00025,2026-08-04,Zepto Technologies Private Limited,INV-2026-00025,order_2026_000025,39808.49,3582.76,3582.76,0.0,398.08,pay_2026_000025,27AAACZ9876K1Z1,Zepto Technologies Private Limited,39410.41,POSTED,erp_tx_00025,39808.49
VR-2026-00026,2026-08-04,PharmEasy API Holdings Private Limited,INV-2026-00026,order_2026_000026,67000.1,6030.01,6030.01,0.0,670.0,pay_2026_000026,27AAACP4455M1Z7,PharmEasy API Holdings Private Limited,66330.1,POSTED,erp_tx_00026,67000.1
VR-2026-00027,2026-08-04,Urban Company Limited,INV-2026-00027,order_2026_000027,11945.79,1075.12,1075.12,0.0,119.46,pay_2026_000027,06AAACU3322L1Z8,Urban Company Limited,11826.33,POSTED,erp_tx_00027,11945.79
VR-2026-00028,2026-08-04,Cultfit Healthcare Private Limited,INV-2026-00028,order_2026_000028,13040.67,1173.66,1173.66,0.0,130.41,pay_2026_000028,29AAACC1122P1Z3,Cultfit Healthcare Private Limited,12910.26,POSTED,erp_tx_00028,13040.67
VR-2026-00029,2026-08-05,Bigbasket Supermarket Grocery Supplies,INV-2026-00029,order_2026_000029,57406.8,5166.61,5166.61,0.0,574.07,pay_2026_000029,29AABCS8899Q1ZX,Bigbasket Supermarket Grocery Supplies,56832.73,POSTED,erp_tx_00029,57406.8
VR-2026-00030,2026-08-05,Bundl Technologies Private Limited,INV-2026-00030,order_2026_000030,47439.58,4269.56,4269.56,0.0,474.4,pay_2026_000030,29AABCB1234F1Z5,Bundl Technologies Private Limited,46965.18,POSTED,erp_tx_00030,47439.58
VR-2026-00031,2026-08-05,Zomato Limited,INV-2026-00031,order_2026_000031,73508.47,6615.76,6615.76,0.0,735.08,pay_2026_000031,07AAACZ1234D1Z2,Zomato Limited,72773.39,POSTED,erp_tx_00031,73508.47
VR-2026-00032,2026-08-05,PharmEasy API Holdings Private Limited,INV-2026-00032,order_2026_000032,71194.8,6407.53,6407.53,0.0,711.95,pay_2026_000032,27AAACP4455M1Z7,PharmEasy API Holdings Private Limited,70482.85,POSTED,erp_tx_00032,71194.8
VR-2026-00033,2026-08-05,Bundl Technologies Private Limited,INV-2026-00033,order_2026_000033,4275.8,384.82,384.82,0.0,0.0,pay_2026_000033,29AABCB1234F1Z5,Bundl Technologies Private Limited,4275.8,POSTED,erp_tx_00033,4275.8
VR-2026-00034,2026-08-05,Urban Company Limited,INV-2026-00034,order_2026_000034,57517.96,5176.62,5176.62,0.0,575.18,pay_2026_000034,06AAACU3322L1Z8,Urban Company Limited,56942.78,POSTED,erp_tx_00034,57517.96
VR-2026-00035,2026-08-05,Cultfit Healthcare Private Limited,INV-2026-00035,order_2026_000035,66086.94,5947.82,5947.82,0.0,660.87,pay_2026_000035,29AAACC1122P1Z3,Cultfit Healthcare Private Limited,65426.07,POSTED,erp_tx_00035,66086.94
VR-2026-00036,2026-08-05,Zepto Technologies Private Limited,INV-2026-00036,order_2026_000036,52321.28,4708.92,4708.92,0.0,523.21,pay_2026_000036,27AAACZ9876K1Z1,Zepto Technologies Private Limited,51798.07,POSTED,erp_tx_00036,52321.28
VR-2026-00037,2026-08-06,Zomato Limited,INV-2026-00037,order_2026_000037,39126.3,3521.37,3521.37,0.0,391.26,pay_2026_000037,07AAACZ1234D1Z2,Zomato Limited,38735.04,POSTED,erp_tx_00037,39126.3
VR-2026-00038,2026-08-06,Nykaa E-Retail Limited,INV-2026-00038,order_2026_000038,11394.79,1025.53,1025.53,0.0,113.95,pay_2026_000038,27AAACN5566R1Z0,Nykaa E-Retail Limited,11280.84,POSTED,erp_tx_00038,11394.79
VR-2026-00039,2026-08-06,Zepto Technologies Private Limited,INV-2026-00039,order_2026_000039,18786.78,1690.81,1690.81,0.0,187.87,pay_2026_000039,27AAACZ9876K1Z1,Zepto Technologies Private Limited,18598.91,POSTED,erp_tx_00039,18786.78
VR-2026-00040,2026-08-06,Urban Company Limited,INV-2026-00040,order_2026_000040,4812.36,433.11,433.11,0.0,0.0,pay_2026_000040,06AAACU3322L1Z8,Urban Company Limited,4812.36,POSTED,erp_tx_00040,4812.36
VR-2026-00041,2026-08-06,Licious Delightful Gourmet Private Limited,INV-2026-00041,order_2026_000041,5984.44,538.6,538.6,0.0,59.84,pay_2026_000041,29AAACL7766N1Z4,Licious Delightful Gourmet Private Limited,5924.6,POSTED,erp_tx_00041,5984.44
VR-2026-00042,2026-08-06,Dunzo Digital Private Limited,INV-2026-00042,order_2026_000042,68308.69,6147.78,6147.78,0.0,683.09,pay_2026_000042,29AADCD5678E1Z9,Dunzo Digital Private Limited,67625.6,POSTED,erp_tx_00042,68308.69
VR-2026-00043,2026-08-06,Bigbasket Supermarket Grocery Supplies,INV-2026-00043,order_2026_000043,13672.1,1230.49,1230.49,0.0,136.72,pay_2026_000043,29AABCS8899Q1ZX,Bigbasket Supermarket Grocery Supplies,13535.38,POSTED,erp_tx_00043,13672.1
VR-2026-00044,2026-08-06,Dunzo Digital Private Limited,INV-2026-00044,order_2026_000044,49068.11,4416.13,4416.13,0.0,490.68,pay_2026_000044,29AADCD5678E1Z9,Dunzo Digital Private Limited,48577.43,POSTED,erp_tx_00044,49068.11
VR-2026-00045,2026-08-07,Bundl Technologies Private Limited,INV-2026-00045,order_2026_000045,2848.17,256.34,256.34,0.0,0.0,pay_2026_000045,29AABCB1234F1Z5,Bundl Technologies Private Limited,2848.17,POSTED,erp_tx_00045,2848.17
VR-2026-00046,2026-08-07,Cultfit Healthcare Private Limited,INV-2026-00046,order_2026_000046,26189.74,2357.08,2357.08,0.0,261.9,pay_2026_000046,29AAACC1122P1Z3,Cultfit Healthcare Private Limited,25927.84,POSTED,erp_tx_00046,26189.74
VR-2026-00047,2026-08-07,Zepto Technologies Private Limited,INV-2026-00047,order_2026_000047,34922.05,3142.98,3142.98,0.0,349.22,pay_2026_000047,27AAACZ9876K1Z1,Zepto Technologies Private Limited,34572.83,POSTED,erp_tx_00047,34922.05
VR-2026-00048,2026-08-07,Cultfit Healthcare Private Limited,INV-2026-00048,order_2026_000048,15384.53,1384.61,1384.61,0.0,153.85,pay_2026_000048,29AAACC1122P1Z3,Cultfit Healthcare Private Limited,15230.68,POSTED,erp_tx_00048,15384.53
VR-2026-00049,2026-08-07,Zomato Limited,INV-2026-00049,order_2026_000049,13836.43,1245.28,1245.28,0.0,138.36,pay_2026_000049,07AAACZ1234D1Z2,Zomato Limited,13698.07,POSTED,erp_tx_00049,13836.43
VR-2026-00050,2026-08-07,Cultfit Healthcare Private Limited,INV-2026-00050,order_2026_000050,15279.64,1375.17,1375.17,0.0,152.8,pay_2026_000050,29AAACC1122P1Z3,Cultfit Healthcare Private Limited,15126.84,POSTED,erp_tx_00050,15279.64
VR-2026-00051,2026-08-07,Cultfit Healthcare Private Limited,INV-2026-00051,order_2026_000051,12280.85,1105.28,1105.28,0.0,122.81,pay_2026_000051,29AAACC1122P1Z3,Cultfit Healthcare Private Limited,12158.04,POSTED,erp_tx_00051,12280.85
VR-2026-00052,2026-08-07,Bundl Technologies Private Limited,INV-2026-00052,order_2026_000052,15736.15,1416.25,1416.25,0.0,157.36,pay_2026_000052,29AABCB1234F1Z5,Bundl Technologies Private Limited,15578.79,POSTED,erp_tx_00052,15736.15
VR-2026-00053,2026-08-08,PharmEasy API Holdings Private Limited,INV-2026-00053,order_2026_000053,12359.03,1112.31,1112.31,0.0,123.59,pay_2026_000053,27AAACP4455M1Z7,PharmEasy API Holdings Private Limited,12235.44,POSTED,erp_tx_00053,12359.03
VR-2026-00054,2026-08-08,Dunzo Digital Private Limited,INV-2026-00054,order_2026_000054,4258.14,383.23,383.23,0.0,0.0,pay_2026_000054,29AADCD5678E1Z9,Dunzo Digital Private Limited,4258.14,POSTED,erp_tx_00054,4258.14
VR-2026-00055,2026-08-08,Bigbasket Supermarket Grocery Supplies,INV-2026-00055,order_2026_000055,30313.16,2728.18,2728.18,0.0,303.13,pay_2026_000055,29AABCS8899Q1ZX,Bigbasket Supermarket Grocery Supplies,30010.03,POSTED,erp_tx_00055,30313.16
VR-2026-00056,2026-08-08,PharmEasy API Holdings Private Limited,INV-2026-00056,order_2026_000056,52515.39,4726.39,4726.39,0.0,525.15,pay_2026_000056,27AAACP4455M1Z7,PharmEasy API Holdings Private Limited,51990.24,POSTED,erp_tx_00056,52515.39
VR-2026-00057,2026-08-08,Bundl Technologies Private Limited,INV-2026-00057,order_2026_000057,63925.24,5753.27,5753.27,0.0,639.25,pay_2026_000057,29AABCB1234F1Z5,Bundl Technologies Private Limited,63285.99,POSTED,erp_tx_00057,63925.24
VR-2026-00058,2026-08-08,Bundl Technologies Private Limited,INV-2026-00058,order_2026_000058,44020.44,3961.84,3961.84,0.0,440.2,pay_2026_000058,29AABCB1234F1Z5,Bundl Technologies Private Limited,43580.24,POSTED,erp_tx_00058,44020.44
VR-2026-00059,2026-08-08,Zepto Technologies Private Limited,INV-2026-00059,order_2026_000059,8973.02,807.57,807.57,0.0,89.73,pay_2026_000059,27AAACZ9876K1Z1,Zepto Technologies Private Limited,8883.29,POSTED,erp_tx_00059,8973.02
VR-2026-00060,2026-08-08,Bigbasket Supermarket Grocery Supplies,INV-2026-00060,order_2026_000060,21562.1,1940.59,1940.59,0.0,215.62,pay_2026_000060,29AABCS8899Q1ZX,Bigbasket Supermarket Grocery Supplies,21346.48,POSTED,erp_tx_00060,21562.1
VR-2026-00061,2026-08-09,Cultfit Healthcare Private Limited,INV-2026-00061,order_2026_000061,56702.04,5103.18,5103.18,0.0,567.02,pay_2026_000061,29AAACC1122P1Z3,Cultfit Healthcare Private Limited,56135.02,POSTED,erp_tx_00061,56702.04
VR-2026-00062,2026-08-09,Zomato Limited,INV-2026-00062,order_2026_000062,28799.03,2591.91,2591.91,0.0,287.99,pay_2026_000062,07AAACZ1234D1Z2,Zomato Limited,28511.04,POSTED,erp_tx_00062,28799.03
VR-2026-00063,2026-08-09,Nykaa E-Retail Limited,INV-2026-00063,order_2026_000063,64899.51,5840.96,5840.96,0.0,649.0,pay_2026_000063,27AAACN5566R1Z0,Nykaa E-Retail Limited,64250.51,POSTED,erp_tx_00063,64899.51
VR-2026-00064,2026-08-09,Zepto Technologies Private Limited,INV-2026-00064,order_2026_000064,64162.39,5774.62,5774.62,0.0,641.62,pay_2026_000064,27AAACZ9876K1Z1,Zepto Technologies Private Limited,63520.77,POSTED,erp_tx_00064,64162.39
VR-2026-00065,2026-08-09,Bundl Technologies Private Limited,INV-2026-00065,order_2026_000065,13727.66,1235.49,1235.49,0.0,137.28,pay_2026_000065,29AABCB1234F1Z5,Bundl Technologies Private Limited,13590.38,POSTED,erp_tx_00065,13727.66
VR-2026-00066,2026-08-09,Bigbasket Supermarket Grocery Supplies,INV-2026-00066,order_2026_000066,58213.68,5239.23,5239.23,0.0,582.14,pay_2026_000066,29AABCS8899Q1ZX,Bigbasket Supermarket Grocery Supplies,57631.54,POSTED,erp_tx_00066,58213.68
VR-2026-00067,2026-08-09,Cultfit Healthcare Private Limited,INV-2026-00067,order_2026_000067,70349.36,6331.44,6331.44,0.0,703.49,pay_2026_000067,29AAACC1122P1Z3,Cultfit Healthcare Private Limited,69645.87,POSTED,erp_tx_00067,70349.36
VR-2026-00068,2026-08-09,Nykaa E-Retail Limited,INV-2026-00068,order_2026_000068,6243.04,561.87,561.87,0.0,62.43,pay_2026_000068,27AAACN5566R1Z0,Nykaa E-Retail Limited,6180.61,POSTED,erp_tx_00068,6243.04
VR-2026-00069,2026-08-10,PharmEasy API Holdings Private Limited,INV-2026-00069,order_2026_000069,61281.78,5515.36,5515.36,0.0,612.82,pay_2026_000069,27AAACP4455M1Z7,PharmEasy API Holdings Private Limited,60668.96,POSTED,erp_tx_00069,61281.78
VR-2026-00070,2026-08-10,Urban Company Limited,INV-2026-00070,order_2026_000070,51668.63,4650.18,4650.18,0.0,516.69,pay_2026_000070,06AAACU3322L1Z8,Urban Company Limited,51151.94,POSTED,erp_tx_00070,51668.63
VR-2026-00071,2026-08-10,Licious Delightful Gourmet Private Limited,INV-2026-00071,order_2026_000071,18097.69,1628.79,1628.79,0.0,180.98,pay_2026_000071,29AAACL7766N1Z4,Licious Delightful Gourmet Private Limited,17916.71,POSTED,erp_tx_00071,18097.69
VR-2026-00072,2026-08-10,Zomato Limited,INV-2026-00072,order_2026_000072,2941.65,264.75,264.75,0.0,0.0,pay_2026_000072,07AAACZ1234D1Z2,Zomato Limited,2941.65,POSTED,erp_tx_00072,2941.65
VR-2026-00073,2026-08-10,Urban Company Limited,INV-2026-00073,order_2026_000073,13286.71,1195.8,1195.8,0.0,132.87,pay_2026_000073,06AAACU3322L1Z8,Urban Company Limited,13153.84,POSTED,erp_tx_00073,13286.71
VR-2026-00074,2026-08-10,Urban Company Limited,INV-2026-00074,order_2026_000074,40275.85,3624.83,3624.83,0.0,402.76,pay_2026_000074,06AAACU3322L1Z8,Urban Company Limited,39873.09,POSTED,erp_tx_00074,40275.85
VR-2026-00075,2026-08-10,Urban Company Limited,INV-2026-00075,order_2026_000075,60598.14,5453.83,5453.83,0.0,605.98,pay_2026_000075,06AAACU3322L1Z8,Urban Company Limited,59992.16,POSTED,erp_tx_00075,60598.14
VR-2026-00076,2026-08-10,Cultfit Healthcare Private Limited,INV-2026-00076,order_2026_000076,73933.74,6654.04,6654.04,0.0,739.34,pay_2026_000076,29AAACC1122P1Z3,Cultfit Healthcare Private Limited,73194.4,POSTED,erp_tx_00076,73933.74
VR-2026-00077,2026-08-11,Zepto Technologies Private Limited,INV-2026-00077,order_2026_000077,41247.57,3712.28,3712.28,0.0,412.48,pay_2026_000077,27AAACZ9876K1Z1,Zepto Technologies Private Limited,40835.09,POSTED,erp_tx_00077,41247.57
VR-2026-00078,2026-08-11,Bundl Technologies Private Limited,INV-2026-00078,order_2026_000078,37909.0,3411.81,3411.81,0.0,379.09,pay_2026_000078,29AABCB1234F1Z5,Bundl Technologies Private Limited,37529.91,POSTED,erp_tx_00078,37909.0
VR-2026-00079,2026-08-11,Urban Company Limited,INV-2026-00079,order_2026_000079,32845.44,2956.09,2956.09,0.0,328.45,pay_2026_000079,06AAACU3322L1Z8,Urban Company Limited,32516.99,POSTED,erp_tx_00079,32845.44
VR-2026-00080,2026-08-11,Cultfit Healthcare Private Limited,INV-2026-00080,order_2026_000080,42976.63,3867.9,3867.9,0.0,429.77,pay_2026_000080,29AAACC1122P1Z3,Cultfit Healthcare Private Limited,42546.86,POSTED,erp_tx_00080,42976.63
