entity_id,type,debit,credit,amount,currency,fee,tax,tds_194o,net_amount,settlement_id,settlement_utr,created_at,settled_at,order_id,invoice_number,method,card_network,bank_code,merchant_name,merchant_legal_name,description,notes
pay_2026_000032,payment,0,7119480,7119480,INR,142390,25630,71195,68802.65,setl_202608_0006,UTR202608006172,2026-08-05T10:26:00+00:00,2026-08-07T10:26:00+00:00,order_2026_000032,INV-2026-00032,card,VISA,UTIB,PharmEasy,PharmEasy API Holdings Private Limited,Payment for order order_2026_000032 via CARD,"{""merchant_gstin"": ""27AAACP4455M1Z7"", ""pos"": ""ONLINE""}"
pay_2026_000033,payment,0,427580,427580,INR,1500,270,0,4258.1,setl_202608_0006,UTR202608006172,2026-08-05T13:29:00+00:00,2026-08-07T13:29:00+00:00,order_2026_000033,INV-2026-00033,netbanking,,HDFC,Swiggy,Bundl Technologies Private Limited,Payment for order order_2026_000033 via NETBANKING,"{""merchant_gstin"": ""29AABCB1234F1Z5"", ""pos"": ""ONLINE""}"
pay_2026_000034,payment,0,5751796,5751796,INR,1200,216,57517,56928.62,setl_202608_0005,UTR202608005619,2026-08-05T16:38:00+00:00,2026-08-06T16:38:00+00:00,order_2026_000034,INV-2026-00034,netbanking,,SBIN,Urban Company,Urban Company Limited,Payment for order order_2026_000034 via NETBANKING,"{""merchant_gstin"": ""06AAACU3322L1Z8"", ""pos"": ""ONLINE""}"
pay_2026_000035,payment,0,6608694,6608694,INR,0,0,66087,65426.07,setl_202608_0006,UTR202608006172,2026-08-05T19:30:00+00:00,2026-08-07T19:30:00+00:00,order_2026_000035,INV-2026-00035,upi,,YESB,Cult.fit,Cultfit Healthcare Private Limited,Payment for order order_2026_000035 via UPI,"{""merchant_gstin"": ""29AAACC1122P1Z3"", ""pos"": ""ONLINE""}"
pay_2026_000036,payment,0,5232128,5232128,INR,0,0,52321,51798.07,setl_202608_0005,UTR202608005619,2026-08-05T22:52:00+00:00,2026-08-06T22:52:00+00:00,order_2026_000036,INV-2026-00036,upi,,YESB,Zepto,Zepto Technologies Private Limited,Payment for order order_2026_000036 via UPI,"{""merchant_gstin"": ""27AAACZ9876K1Z1"", ""pos"": ""ONLINE""}"
pay_2026_000037,payment,0,3912630,3912630,INR,0,0,39126,38735.04,setl_202608_0006,UTR202608006172,2026-08-06T01:06:00+00:00,2026-08-07T01:06:00+00:00,order_2026_000037,INV-2026-00037,upi,,HDFC,Zomato,Zomato Limited,Payment for order order_2026_000037 via UPI,"{""merchant_gstin"": ""07AAACZ1234D1Z2"", ""pos"": ""ONLINE""}"
pay_2026_000038,payment,0,1139479,1139479,INR,0,0,11395,11280.84,setl_202608_0006,UTR202608006172,2026-08-06T04:26:00+00:00,2026-08-07T04:26:00+00:00,order_2026_000038,INV-2026-00038,card,RuPay,SBIN,Nykaa,Nykaa E-Retail Limited,Payment for order order_2026_000038 via CARD,"{""merchant_gstin"": ""27AAACN5566R1Z0"", ""pos"": ""ONLINE""}"
pay_2026_000039,payment,0,1878678,1878678,INR,0,0,18787,18598.91,setl_202608_0007,UTR202608007461,2026-08-06T07:26:00+00:00,2026-08-08T07:26:00+00:00,order_2026_000039,INV-2026-00039,upi,,YESB,Zepto,Zepto Technologies Private Limited,Payment for order order_2026_000039 via UPI,"{""merchant_gstin"": ""27AAACZ9876K1Z1"", ""pos"": ""ONLINE""}"
pay_2026_000040,payment,0,481235,481235,INR,1500,270,0,4794.66,setl_202608_0006,UTR202608006172,2026-08-06T10:10:00+00:00,2026-08-07T10:10:00+00:00,order_2026_000040,INV-2026-00040,netbanking,,HDFC,Urban Company,Urban Company Limited,Payment for order order_2026_000040 via NETBANKING,"{""merchant_gstin"": ""06AAACU3322L1Z8"", ""pos"": ""ONLINE""}"
pay_2026_000041,payment,0,598444,598444,INR,0,0,5984,5924.6,setl_202608_0007,UTR202608007461,2026-08-06T13:44:00+00:00,2026-08-08T13:44:00+00:00,order_2026_000041,INV-2026-00041,upi,,YESB,Licious,Licious Delightful Gourmet Private Limited,Payment for order order_2026_000041 via UPI,"{""merchant_gstin"": ""29AAACL7766N1Z4"", ""pos"": ""ONLINE""}"
pay_2026_000042,payment,0,6830869,6830869,INR,136617,24591,68309,66013.52,setl_202608_0006,UTR202608006172,2026-08-06T16:44:00+00:00,2026-08-07T16:44:00+00:00,order_2026_000042,INV-2026-00042,card,VISA,UTIB,Dunzo,Dunzo Digital Private Limited,Payment for order order_2026_000042 via CARD,"{""merchant_gstin"": ""29AADCD5678E1Z9"", ""pos"": ""ONLINE""}"
pay_2026_000043,payment,0,1367210,1367210,INR,0,0,13672,13535.38,setl_202608_0007,UTR202608007461,2026-08-06T19:47:00+00:00,2026-08-08T19:47:00+00:00,order_2026_000043,INV-2026-00043,upi,,YESB,BigBasket,Bigbasket Supermarket Grocery Supplies,Payment for order order_2026_000043 via UPI,"{""merchant_gstin"": ""29AABCS8899Q1ZX"", ""pos"": ""ONLINE""}"
pay_2026_000044,payment,0,4906811,4906811,INR,1200,216,49068,48563.27,setl_202608_0006,UTR202608006172,2026-08-06T22:41:00+00:00,2026-08-07T22:41:00+00:00,order_2026_000044,INV-2026-00044,netbanking,,SBIN,Dunzo,Dunzo Digital Private Limited,Payment for order order_2026_000044 via NETBANKING,"{""merchant_gstin"": ""29AADCD5678E1Z9"", ""pos"": ""ONLINE""}"
pay_2026_000045,payment,0,284817,284817,INR,5696,1025,0,2780.96,setl_202608_0008,UTR202608008246,2026-08-07T01:07:00+00:00,2026-08-09T01:07:00+00:00,order_2026_000045,INV-2026-00045,card,MasterCard,ICIC,Swiggy,Bundl Technologies Private Limited,Payment for order order_2026_000045 via CARD,"{""merchant_gstin"": ""29AABCB1234F1Z5"", ""pos"": ""ONLINE""}"
pay_2026_000046,payment,0,2618974,2618974,INR,0,0,26189,25927.84,setl_202608_0008,UTR202608008246,2026-08-07T04:53:00+00:00,2026-08-09T04:53:00+00:00,order_2026_000046,INV-2026-00046,card,RuPay,SBIN,Cult.fit,Cultfit Healthcare Private Limited,Payment for order order_2026_000046 via CARD,"{""merchant_gstin"": ""29AAACC1122P1Z3"", ""pos"": ""ONLINE""}"
pay_2026_000047,payment,0,3492205,3492205,INR,1200,216,34922,34558.67,setl_202608_0008,UTR202608008246,2026-08-07T07:33:00+00:00,2026-08-09T07:33:00+00:00,order_2026_000047,INV-2026-00047,netbanking,,SBIN,Zepto,Zepto Technologies Private Limited,Payment for order order_2026_000047 via NETBANKING,"{""merchant_gstin"": ""27AAACZ9876K1Z1"", ""pos"": ""ONLINE""}"
pay_2026_000048,payment,0,1538453,1538453,INR,30769,5538,15385,14867.61,setl_202608_0007,UTR202608007461,2026-08-07T10:42:00+00:00,2026-08-08T10:42:00+00:00,order_2026_000048,INV-2026-00048,card,VISA,UTIB,Cult.fit,Cultfit Healthcare Private Limited,Payment for order order_2026_000048 via CARD,"{""merchant_gstin"": ""29AAACC1122P1Z3"", ""pos"": ""ONLINE""}"
pay_2026_000049,payment,0,1383643,1383643,INR,0,0,13836,13698.07,setl_202608_0007,UTR202608007461,2026-08-07T13:23:00+00:00,2026-08-08T13:23:00+00:00,order_2026_000049,INV-2026-00049,upi,,YESB,Zomato,Zomato Limited,Payment for order order_2026_000049 via UPI,"{""merchant_gstin"": ""07AAACZ1234D1Z2"", ""pos"": ""ONLINE""}"
pay_2026_000050,payment,0,1527964,1527964,INR,0,0,15280,15126.84,setl_202608_0008,UTR202608008246,2026-08-07T16:12:00+00:00,2026-08-09T16:12:00+00:00,order_2026_000050,INV-2026-00050,card,RuPay,SBIN,Cult.fit,Cultfit Healthcare Private Limited,Payment for order order_2026_000050 via CARD,"{""merchant_gstin"": ""29AAACC1122P1Z3"", ""pos"": ""ONLINE""}"
pay_2026_000051,payment,0,1228085,1228085,INR,1500,270,12281,12140.34,setl_202608_0007,UTR202608007461,2026-08-07T19:19:00+00:00,2026-08-08T19:19:00+00:00,order_2026_000051,INV-2026-00051,netbanking,,HDFC,Cult.fit,Cultfit Healthcare Private Limited,Payment for order order_2026_000051 via NETBANKING,"{""merchant_gstin"": ""29AAACC1122P1Z3"", ""pos"": ""ONLINE""}"
pay_2026_000052,payment,0,1573615,1573615,INR,1500,270,15736,15561.09,setl_202608_0008,UTR202608008246,2026-08-07T22:33:00+00:00,2026-08-09T22:33:00+00:00,order_2026_000052,INV-2026-00052,netbanking,,HDFC,Swiggy,Bundl Technologies Private Limited,Payment for order order_2026_000052 via NETBANKING,"{""merchant_gstin"": ""29AABCB1234F1Z5"", ""pos"": ""ONLINE""}"
pay_2026_000053,payment,0,1235903,1235903,INR,0,0,12359,12235.44,setl_202608_0009,UTR202608009448,2026-08-08T01:45:00+00:00,2026-08-10T01:45:00+00:00,order_2026_000053,INV-2026-00053,card,RuPay,SBIN,PharmEasy,PharmEasy API Holdings Private Limited,Payment for order order_2026_000053 via CARD,"{""merchant_gstin"": ""27AAACP4455M1Z7"", ""pos"": ""ONLINE""}"
pay_2026_000054,payment,0,425814,425814,INR,0,0,0,4258.14,setl_202608_0008,UTR202608008246,2026-08-08T04:17:00+00:00,2026-08-09T04:17:00+00:00,order_2026_000054,INV-2026-00054,upi,,YESB,Dunzo,Dunzo Digital Private Limited,Payment for order order_2026_000054 via UPI,"{""merchant_gstin"": ""29AADCD5678E1Z9"", ""pos"": ""ONLINE""}"
pay_2026_000055,payment,0,3031316,3031316,INR,1500,270,30313,29992.33,setl_202608_0009,UTR202608009448,2026-08-08T07:45:00+00:00,2026-08-10T07:45:00+00:00,order_2026_000055,INV-2026-00055,netbanking,,HDFC,BigBasket,Bigbasket Supermarket Grocery Supplies,Payment for order order_2026_000055 via NETBANKING,"{""merchant_gstin"": ""29AABCS8899Q1ZX"", ""pos"": ""ONLINE""}"
pay_2026_000056,payment,0,5251539,5251539,INR,1200,216,52515,51976.08,setl_202608_0009,UTR202608009448,2026-08-08T10:06:00+00:00,2026-08-10T10:06:00+00:00,order_2026_000056,INV-2026-00056,netbanking,,SBIN,PharmEasy,PharmEasy API Holdings Private Limited,Payment for order order_2026_000056 via NETBANKING,"{""merchant_gstin"": ""27AAACP4455M1Z7"", ""pos"": ""ONLINE""}"
pay_2026_000057,payment,0,6392524,6392524,INR,127850,23013,63925,61777.36,setl_202608_0009,UTR202608009448,2026-08-08T13:41:00+00:00,2026-08-10T13:41:00+00:00,order_2026_000057,INV-2026-00057,card,MasterCard,ICIC,Swiggy,Bundl Technologies Private Limited,Payment for order order_2026_000057 via CARD,"{""merchant_gstin"": ""29AABCB1234F1Z5"", ""pos"": ""ONLINE""}"
pay_2026_000058,payment,0,4402044,4402044,INR,0,0,44020,43580.24,setl_202608_0008,UTR202608008246,2026-08-08T16:47:00+00:00,2026-08-09T16:47:00+00:00,order_2026_000058,INV-2026-00058,card,RuPay,SBIN,Swiggy,Bundl Technologies Private Limited,Payment for order order_2026_000058 via CARD,"{""merchant_gstin"": ""29AABCB1234F1Z5"", ""pos"": ""ONLINE""}"
pay_2026_000059,payment,0,897302,897302,INR,1200,216,8973,8869.13,setl_202608_0009,UTR202608009448,2026-08-08T19:05:00+00:00,2026-08-10T19:05:00+00:00,order_2026_000059,INV-2026-00059,netbanking,,SBIN,Zepto,Zepto Technologies Private Limited,Payment for order order_2026_000059 via NETBANKING,"{""merchant_gstin"": ""27AAACZ9876K1Z1"", ""pos"": ""ONLINE""}"
pay_2026_000060,payment,0,2156210,2156210,INR,1200,216,21562,21332.32,setl_202608_0009,UTR202608009448,2026-08-08T22:19:00+00:00,2026-08-10T22:19:00+00:00,order_2026_000060,INV-2026-00060,netbanking,,SBIN,BigBasket,Bigbasket Supermarket Grocery Supplies,Payment for order order_2026_000060 via NETBANKING,"{""merchant_gstin"": ""29AABCS8899Q1ZX"", ""pos"": ""ONLINE""}"
pay_2026_000061,payment,0,5670204,5670204,INR,113404,20413,56702,54796.85,setl_202608_0010,UTR202608010620,2026-08-09T01:27:00+00:00,2026-08-11T01:27:00+00:00,order_2026_000061,INV-2026-00061,card,VISA,UTIB,Cult.fit,Cultfit Healthcare Private Limited,Payment for order order_2026_000061 via CARD,"{""merchant_gstin"": ""29AAACC1122P1Z3"", ""pos"": ""ONLINE""}"
pay_2026_000062,payment,0,2879903,2879903,INR,57598,10368,28799,27831.38,setl_202608_0010,UTR202608010620,2026-08-09T04:30:00+00:00,2026-08-11T04:30:00+00:00,order_2026_000062,INV-2026-00062,card,MasterCard,ICIC,Zomato,Zomato Limited,Payment for order order_2026_000062 via CARD,"{""merchant_gstin"": ""07AAACZ1234D1Z2"", ""pos"": ""ONLINE""}"
pay_2026_000063,payment,0,6489951,6489951,INR,0,0,64900,64250.51,setl_202608_0010,UTR202608010620,2026-08-09T07:07:00+00:00,2026-08-11T07:07:00+00:00,order_2026_000063,INV-2026-00063,card,RuPay,SBIN,Nykaa,Nykaa E-Retail Limited,Payment for order order_2026_000063 via CARD,"{""merchant_gstin"": ""27AAACN5566R1Z0"", ""pos"": ""ONLINE""}"
pay_2026_000064,payment,0,6416239,6416239,INR,0,0,64162,63520.77,setl_202608_0010,UTR202608010620,2026-08-09T10:38:00+00:00,2026-08-11T10:38:00+00:00,order_2026_000064,INV-2026-00064,upi,,YESB,Zepto,Zepto Technologies Private Limited,Payment for order order_2026_000064 via UPI,"{""merchant_gstin"": ""27AAACZ9876K1Z1"", ""pos"": ""ONLINE""}"
pay_2026_000065,payment,0,1372766,1372766,INR,0,0,13728,13590.38,setl_202608_0009,UTR202608009448,2026-08-09T13:36:00+00:00,2026-08-10T13:36:00+00:00,order_2026_000065,INV-2026-00065,upi,,HDFC,Swiggy,Bundl Technologies Private Limited,Payment for order order_2026_000065 via UPI,"{""merchant_gstin"": ""29AABCB1234F1Z5"", ""pos"": ""ONLINE""}"
pay_2026_000066,payment,0,5821368,5821368,INR,0,0,58214,57631.54,setl_202608_0010,UTR202608010620,2026-08-09T16:31:00+00:00,2026-08-11T16:31:00+00:00,order_2026_000066,INV-2026-00066,upi,,YESB,BigBasket,Bigbasket Supermarket Grocery Supplies,Payment for order order_2026_000066 via UPI,"{""merchant_gstin"": ""29AABCS8899Q1ZX"", ""pos"": ""ONLINE""}"
pay_2026_000067,payment,0,7034936,7034936,INR,0,0,70349,69645.87,setl_202608_0009,UTR202608009448,2026-08-09T19:32:00+00:00,2026-08-10T19:32:00+00:00,order_2026_000067,INV-2026-00067,upi,,YESB,Cult.fit,Cultfit Healthcare Private Limited,Payment for order order_2026_000067 via UPI,"{""merchant_gstin"": ""29AAACC1122P1Z3"", ""pos"": ""ONLINE""}"
pay_2026_000068,payment,0,624304,624304,INR,12486,2247,6243,6033.28,setl_202608_0009,UTR202608009448,2026-08-09T22:43:00+00:00,2026-08-10T22:43:00+00:00,order_2026_000068,INV-2026-00068,card,VISA,UTIB,Nykaa,Nykaa E-Retail Limited,Payment for order order_2026_000068 via CARD,"{""merchant_gstin"": ""27AAACN5566R1Z0"", ""pos"": ""ONLINE""}"
