date,value_date,narration,chq_ref_no,withdrawal_amount,deposit_amount,closing_balance,utr_number,transaction_id
08/08/2026,08/08/2026,NEFT-RZPX0043-BIGBASKET-UTR202608007461,UTR202608007461,0.0,13535.38,15582021.34,UTR202608007461,bank_tx_00043
07/08/2026,07/08/2026,NEFT-RZPX0044-DUNZO-UTR202608006172,UTR202608006172,0.0,48563.27,17136783.88,UTR202608006172,bank_tx_00044
09/08/2026,09/08/2026,NEFT-RZPX0045-SWIGGY-UTR202608008246,UTR202608008246,0.0,2780.96,15125143.2,UTR202608008246,bank_tx_00045
09/08/2026,09/08/2026,NEFT-RZPX0046-CULT.FIT-UTR202608008246,UTR202608008246,0.0,25927.84,16192680.64,UTR202608008246,bank_tx_00046
09/08/2026,09/08/2026,NEFT-RZPX0047-ZEPTO-UTR202608008246,UTR202608008246,0.0,34558.67,16624257.49,UTR202608008246,bank_tx_00047
08/08/2026,08/08/2026,NEFT-RZPX0048-CULT.FIT-UTR202608007461,UTR202608007461,0.0,14867.61,15713645.28,UTR202608007461,bank_tx_00048
08/08/2026,08/08/2026,NEFT-RZPX0049-ZOMATO-UTR202608007461,UTR202608007461,0.0,13698.07,15671205.43,UTR202608007461,bank_tx_00049
09/08/2026,09/08/2026,NEFT-RZPX0050-CULT.FIT-UTR202608008246,UTR202608008246,0.0,15126.84,15756342.0,UTR202608008246,bank_tx_00050
08/08/2026,08/08/2026,NEFT-RZPX0051-CULT.FIT-UTR202608007461,UTR202608007461,0.0,12140.34,15619157.34,UTR202608007461,bank_tx_00051
09/08/2026,09/08/2026,NEFT-RZPX0052-SWIGGY-UTR202608008246,UTR202608008246,0.0,15561.09,15809176.68,UTR202608008246,bank_tx_00052
10/08/2026,10/08/2026,NEFT-RZPX0053-PHARMEASY-UTR202608009448,UTR202608009448,0.0,12235.44,15648478.32,UTR202608009448,bank_tx_00053
09/08/2026,09/08/2026,NEFT-RZPX0054-DUNZO-UTR202608008246,UTR202608008246,0.0,4258.14,15229939.56,UTR202608008246,bank_tx_00054
10/08/2026,10/08/2026,NEFT-RZPX0055-BIGBASKET-UTR202608009448,UTR202608009448,0.0,29992.33,16649578.15,UTR202608009448,bank_tx_00055
10/08/2026,10/08/2026,NEFT-RZPX0056-PHARMEASY-UTR202608009448,UTR202608009448,0.0,51976.08,17910660.48,UTR202608009448,bank_tx_00056
10/08/2026,10/08/2026,NEFT-RZPX0057-SWIGGY-UTR202608009448,UTR202608009448,0.0,61777.36,18521309.52,UTR202608009448,bank_tx_00057
09/08/2026,09/08/2026,NEFT-RZPX0058-SWIGGY-UTR202608008246,UTR202608008246,0.0,43580.24,17527653.92,UTR202608008246,bank_tx_00058
10/08/2026,10/08/2026,NEFT-RZPX0059-ZEPTO-UTR202608009448,UTR202608009448,0.0,8869.13,15523278.67,UTR202608009448,bank_tx_00059
10/08/2026,10/08/2026,NEFT-RZPX0060-BIGBASKET-UTR202608009448,UTR202608009448,0.0,21332.32,16279939.2,UTR202608009448,bank_tx_00060
11/08/2026,11/08/2026,NEFT-RZPX0061-CULT.FIT-UTR202608010620,UTR202608010620,0.0,54796.85,18342607.85,UTR202608010620,bank_tx_00061
11/08/2026,11/08/2026,NEFT-RZPX0062-ZOMATO-UTR202608010620,UTR202608010620,0.0,27831.38,16725545.56,UTR202608010620,bank_tx_00062
11/08/2026,11/08/2026,NEFT-RZPX0063-NYKAA-UTR202608010620,UTR202608010620,0.0,64250.51,19047782.13,UTR202608010620,bank_tx_00063
11/08/2026,11/08/2026,NEFT-RZPX0064-ZEPTO-UTR202608010620,UTR202608010620,0.0,63520.77,19065329.28,UTR202608010620,bank_tx_00064
10/08/2026,10/08/2026,NEFT-RZPX0065-SWIGGY-UTR202608009448,UTR202608009448,0.0,13590.38,15883374.7,UTR202608009448,bank_tx_00065
11/08/2026,11/08/2026,NEFT-RZPX0066-BIGBASKET-UTR202608010620,UTR202608010620,0.0,57631.54,18803681.64,UTR202608010620,bank_tx_00066
10/08/2026,10/08/2026,NEFT-RZPX0067-CULT.FIT-UTR202608009448,UTR202608009448,0.0,69645.87,19666273.29,UTR202608009448,bank_tx_00067
10/08/2026,10/08/2026,NEFT-RZPX0068-NYKAA-UTR202608009448,UTR202608009448,0.0,6033.28,15410263.04,UTR202608009448,bank_tx_00068
12/08/2026,12/08/2026,NEFT-RZPX0069-PHARMEASY-UTR202608011621,UTR202608011621,0.0,59222.7,19086366.3,UTR202608011621,bank_tx_00069
12/08/2026,12/08/2026,NEFT-RZPX0070-URBAN COMPANY-UTR202608011621,UTR202608011621,0.0,51151.94,18580635.8,UTR202608011621,bank_tx_00070
11/08/2026,11/08/2026,NEFT-RZPX0071-LICIOUS-UTR202608010620,UTR202608010620,0.0,17916.71,16272086.41,UTR202608010620,bank_tx_00071
11/08/2026,11/08/2026,NEFT-RZPX0072-ZOMATO-UTR202608010620,UTR202608010620,0.0,2872.23,15206800.56,UTR202608010620,bank_tx_00072
12/08/2026,12/08/2026,NEFT-RZPX0073-URBAN COMPANY-UTR202608011621,UTR202608011621,0.0,12840.28,15937340.44,UTR202608011621,bank_tx_00073
12/08/2026,12/08/2026,NEFT-RZPX0074-URBAN COMPANY-UTR202608011621,UTR202608011621,0.0,39873.09,17950608.66,UTR202608011621,bank_tx_00074
11/08/2026,11/08/2026,NEFT-RZPX0075-URBAN COMPANY-UTR202608010620,UTR202608010620,0.0,59974.46,19498084.5,UTR202608010620,bank_tx_00075
11/08/2026,11/08/2026,NEFT-RZPX0076-CULT.FIT-UTR202608010620,UTR202608010620,0.0,73194.4,20562774.4,UTR202608010620,bank_tx_00076
12/08/2026,12/08/2026,NEFT-RZPX0077-ZEPTO-UTR202608011621,UTR202608011621,0.0,39861.65,18069347.05,UTR202608011621,bank_tx_00077
13/08/2026,13/08/2026,NEFT-RZPX0078-SWIGGY-UTR202608012617,UTR202608012617,0.0,37529.91,17927332.98,UTR202608012617,bank_tx_00078
13/08/2026,13/08/2026,NEFT-RZPX0079-URBAN COMPANY-UTR202608012617,UTR202608012617,0.0,31741.84,17507605.36,UTR202608012617,bank_tx_00079
12/08/2026,12/08/2026,NEFT-RZPX0080-CULT.FIT-UTR202608011621,UTR202608011621,0.0,42546.86,18403748.8,UTR202608011621,bank_tx_00080
